#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Bordetella pertussis","I150",19440,SAMN03877219 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986045.1 ,4.10743,67.7,chromosome:NZ_CP012131.1/CP012131.1,-,1,3975,3629,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/045/GCF_001986045.1_ASM198604v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/045/GCA_001986045.1_ASM198604v1
"Bordetella pertussis","I187",19440,SAMN03877220 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986065.1 ,4.10651,67.7,chromosome:NZ_CP012132.1/CP012132.1,-,1,3966,3617,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/065/GCF_001986065.1_ASM198606v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/065/GCA_001986065.1_ASM198606v1
"Bordetella pertussis","I259",19440,SAMN03877221 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986085.1 ,4.10535,67.7,chromosome:NZ_CP012133.1/CP012133.1,-,1,3971,3627,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/085/GCF_001986085.1_ASM198608v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/085/GCA_001986085.1_ASM198608v1
"Bordetella pertussis","I464",19440,SAMN03877222 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986105.1 ,4.10743,67.7,chromosome:NZ_CP012134.1/CP012134.1,-,1,3975,3627,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/105/GCF_001986105.1_ASM198610v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/105/GCA_001986105.1_ASM198610v1
"Bordetella pertussis","H320",19440,SAMN03464271 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986155.1 ,4.10954,67.7,chromosome:NZ_CP011234.1/CP011234.1,-,1,3970,3628,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/155/GCF_001986155.1_ASM198615v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/155/GCA_001986155.1_ASM198615v1
"Bordetella pertussis","H834",19440,SAMN03464273 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986175.1 ,4.1037,67.7,chromosome:NZ_CP011235.1/CP011235.1,-,1,3966,3619,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/175/GCF_001986175.1_ASM198617v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/175/GCA_001986175.1_ASM198617v1
"Bordetella pertussis","H710",19440,SAMN03464272 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986195.1 ,4.10533,67.7,chromosome:NZ_CP011236.1/CP011236.1,-,1,3965,3619,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/195/GCF_001986195.1_ASM198619v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/195/GCA_001986195.1_ASM198619v1
"Bordetella pertussis","H851",19440,SAMN03464274 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986215.1 ,4.1065,67.7,chromosome:NZ_CP011237.1/CP011237.1,-,1,3964,3615,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/215/GCF_001986215.1_ASM198621v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/215/GCA_001986215.1_ASM198621v1
"Bordetella pertussis","H911",19440,SAMN03464275 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986235.1 ,4.10218,67.7,chromosome:NZ_CP011238.1/CP011238.1,-,1,3969,3622,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/235/GCF_001986235.1_ASM198623v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/235/GCA_001986235.1_ASM198623v1
"Bordetella pertussis","H915",19440,SAMN03464276 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986255.1 ,4.10428,67.7,chromosome:NZ_CP011239.1/CP011239.1,-,1,3965,3623,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/255/GCF_001986255.1_ASM198625v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/255/GCA_001986255.1_ASM198625v1
"Bordetella pertussis","I075",19440,SAMN03464277 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986275.1 ,4.10635,67.7,chromosome:NZ_CP011240.1/CP011240.1,-,1,3974,3633,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/275/GCF_001986275.1_ASM198627v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/275/GCA_001986275.1_ASM198627v1
"Bordetella pertussis","I112",19440,SAMN03464278 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986295.1 ,4.10639,67.7,chromosome:NZ_CP011241.1/CP011241.1,-,1,3974,3628,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/295/GCF_001986295.1_ASM198629v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/295/GCA_001986295.1_ASM198629v1
"Bordetella pertussis","I975",19440,SAMN03464279 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986315.1 ,4.1065,67.7,chromosome:NZ_CP011242.1/CP011242.1,-,1,3965,3613,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/315/GCF_001986315.1_ASM198631v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/315/GCA_001986315.1_ASM198631v1
"Bordetella pertussis","I998",19440,SAMN03464280 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986335.1 ,4.10971,67.7,chromosome:NZ_CP011243.1/CP011243.1,-,1,3978,3629,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/335/GCF_001986335.1_ASM198633v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/335/GCA_001986335.1_ASM198633v1
"Bordetella pertussis","J022",19440,SAMN03464281 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986355.1 ,4.1065,67.7,chromosome:NZ_CP011244.1/CP011244.1,-,1,3964,3614,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/355/GCF_001986355.1_ASM198635v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/355/GCA_001986355.1_ASM198635v1
"Bordetella pertussis","C505",19440,SAMN03702609 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986375.1 ,4.10328,67.7,chromosome:NZ_CP011687.1/CP011687.1,-,1,3964,3621,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/375/GCF_001986375.1_ASM198637v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/375/GCA_001986375.1_ASM198637v1
"Bordetella pertussis","C742",19440,SAMN03702610 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986415.1 ,4.10325,67.7,chromosome:NZ_CP011688.1/CP011688.1,-,1,3965,3623,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/415/GCF_001986415.1_ASM198641v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/415/GCA_001986415.1_ASM198641v1
"Bordetella pertussis","D175",19440,SAMN03702611 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986435.1 ,4.10851,67.7,chromosome:NZ_CP011689.1/CP011689.1,-,1,3969,3625,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/435/GCF_001986435.1_ASM198643v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/435/GCA_001986435.1_ASM198643v1
"Bordetella pertussis","D321",19440,SAMN03702612 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986455.1 ,4.10418,67.7,chromosome:NZ_CP011690.1/CP011690.1,-,1,3962,3618,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/455/GCF_001986455.1_ASM198645v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/455/GCA_001986455.1_ASM198645v1
"Bordetella pertussis","D502",19440,SAMN03702613 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986475.1 ,4.10117,67.7,chromosome:NZ_CP011691.1/CP011691.1,-,1,3969,3630,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/475/GCF_001986475.1_ASM198647v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/475/GCA_001986475.1_ASM198647v1
"Bordetella pertussis","E024",19440,SAMN03702614 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986495.1 ,4.10113,67.7,chromosome:NZ_CP011692.1/CP011692.1,-,1,3968,3627,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/495/GCF_001986495.1_ASM198649v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/495/GCA_001986495.1_ASM198649v1
"Bordetella pertussis","E530",19440,SAMN03702615 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986515.1 ,4.10639,67.7,chromosome:NZ_CP011693.1/CP011693.1,-,1,3972,3629,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/515/GCF_001986515.1_ASM198651v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/515/GCA_001986515.1_ASM198651v1
"Bordetella pertussis","H346",19440,SAMN03702616 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986535.1 ,4.11061,67.7,chromosome:NZ_CP011694.1/CP011694.1,-,1,3973,3627,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/535/GCF_001986535.1_ASM198653v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/535/GCA_001986535.1_ASM198653v1
"Bordetella pertussis","H437",19440,SAMN03702617 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986555.1 ,4.10534,67.7,chromosome:NZ_CP011695.1/CP011695.1,-,1,3967,3621,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/555/GCF_001986555.1_ASM198655v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/555/GCA_001986555.1_ASM198655v1
"Bordetella pertussis","H762",19440,SAMN03702618 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986575.1 ,4.10534,67.7,chromosome:NZ_CP011696.1/CP011696.1,-,1,3973,3627,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/575/GCF_001986575.1_ASM198657v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/575/GCA_001986575.1_ASM198657v1
"Bordetella pertussis","H763",19440,SAMN03702619 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986595.1 ,4.11059,67.7,chromosome:NZ_CP011697.1/CP011697.1,-,1,3977,3634,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/595/GCF_001986595.1_ASM198659v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/595/GCA_001986595.1_ASM198659v1
"Bordetella pertussis","H764",19440,SAMN03702620 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986615.1 ,4.10533,67.7,chromosome:NZ_CP011698.1/CP011698.1,-,1,3974,3627,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/615/GCF_001986615.1_ASM198661v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/615/GCA_001986615.1_ASM198661v1
"Bordetella pertussis","H766",19440,SAMN03702621 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986635.1 ,4.10426,67.7,chromosome:NZ_CP011699.1/CP011699.1,-,1,3971,3627,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/635/GCF_001986635.1_ASM198663v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/635/GCA_001986635.1_ASM198663v1
"Bordetella pertussis","H768",19440,SAMN03702622 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986655.1 ,4.10639,67.7,chromosome:NZ_CP011700.1/CP011700.1,-,1,3974,3626,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/655/GCF_001986655.1_ASM198665v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/655/GCA_001986655.1_ASM198665v1
"Bordetella pertussis","H773",19440,SAMN03702623 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986675.1 ,4.11164,67.7,chromosome:NZ_CP011701.1/CP011701.1,-,1,3979,3628,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/675/GCF_001986675.1_ASM198667v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/675/GCA_001986675.1_ASM198667v1
"Bordetella pertussis","H775",19440,SAMN03702624 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986695.1 ,4.10649,67.7,chromosome:NZ_CP011702.1/CP011702.1,-,1,3966,3612,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/695/GCF_001986695.1_ASM198669v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/695/GCA_001986695.1_ASM198669v1
"Bordetella pertussis","H779",19440,SAMN03702625 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986715.1 ,4.10629,67.7,chromosome:NZ_CP011703.1/CP011703.1,-,1,3972,3594,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/715/GCF_001986715.1_ASM198671v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/715/GCA_001986715.1_ASM198671v1
"Bordetella pertussis","H787",19440,SAMN03702626 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986735.1 ,4.10848,67.7,chromosome:NZ_CP011704.1/CP011704.1,-,1,3971,3626,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/735/GCF_001986735.1_ASM198673v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/735/GCA_001986735.1_ASM198673v1
"Bordetella pertussis","H842",19440,SAMN03702627 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986755.1 ,4.11164,67.7,chromosome:NZ_CP011705.1/CP011705.1,-,1,3980,3631,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/755/GCF_001986755.1_ASM198675v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/755/GCA_001986755.1_ASM198675v1
"Bordetella pertussis","H847",19440,SAMN03702628 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986775.1 ,4.10325,67.7,chromosome:NZ_CP011706.1/CP011706.1,-,1,3971,3618,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/775/GCF_001986775.1_ASM198677v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/775/GCA_001986775.1_ASM198677v1
"Bordetella pertussis","H849",19440,SAMN03702629 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986795.1 ,4.1032,67.7,chromosome:NZ_CP011707.1/CP011707.1,-,1,3968,3628,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/795/GCF_001986795.1_ASM198679v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/795/GCA_001986795.1_ASM198679v1
"Bordetella pertussis","H853",19440,SAMN03702630 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986815.1 ,4.10954,67.7,chromosome:NZ_CP011708.1/CP011708.1,-,1,3976,3631,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/815/GCF_001986815.1_ASM198681v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/815/GCA_001986815.1_ASM198681v1
"Bordetella pertussis","H864",19440,SAMN03702631 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986835.1 ,4.1065,67.7,chromosome:NZ_CP011709.1/CP011709.1,-,1,3964,3615,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/835/GCF_001986835.1_ASM198683v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/835/GCA_001986835.1_ASM198683v1
"Bordetella pertussis","H866",19440,SAMN03702632 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986855.1 ,4.11164,67.7,chromosome:NZ_CP011710.1/CP011710.1,-,1,3978,3633,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/855/GCF_001986855.1_ASM198685v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/855/GCA_001986855.1_ASM198685v1
"Bordetella pertussis","H878",19440,SAMN03702633 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986875.1 ,4.10633,67.7,chromosome:NZ_CP011711.1/CP011711.1,-,1,3972,3625,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/875/GCF_001986875.1_ASM198687v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/875/GCA_001986875.1_ASM198687v1
"Bordetella pertussis","H883",19440,SAMN03702634 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986895.1 ,4.10955,67.7,chromosome:NZ_CP011712.1/CP011712.1,-,1,3976,3632,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/895/GCF_001986895.1_ASM198689v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/895/GCA_001986895.1_ASM198689v1
"Bordetella pertussis","H884",19440,SAMN03702635 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986915.1 ,4.10955,67.7,chromosome:NZ_CP011713.1/CP011713.1,-,1,3976,3618,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/915/GCF_001986915.1_ASM198691v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/915/GCA_001986915.1_ASM198691v1
"Bordetella pertussis","H910",19440,SAMN03702636 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986935.1 ,4.11059,67.7,chromosome:NZ_CP011714.1/CP011714.1,-,1,3980,3633,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/935/GCF_001986935.1_ASM198693v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/935/GCA_001986935.1_ASM198693v1
"Bordetella pertussis","I069",19440,SAMN03702637 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986955.1 ,4.10955,67.7,chromosome:NZ_CP011715.1/CP011715.1,-,1,3977,3630,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/955/GCF_001986955.1_ASM198695v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/955/GCA_001986955.1_ASM198695v1
"Bordetella pertussis","I088",19440,SAMN03702638 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986975.1 ,4.11269,67.7,chromosome:NZ_CP011716.1/CP011716.1,-,1,3981,3633,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/975/GCF_001986975.1_ASM198697v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/975/GCA_001986975.1_ASM198697v1
"Bordetella pertussis","I089",19440,SAMN03702639 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001986995.1 ,4.11059,67.7,chromosome:NZ_CP011717.1/CP011717.1,-,1,3978,3631,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/986/995/GCF_001986995.1_ASM198699v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/986/995/GCA_001986995.1_ASM198699v1
"Bordetella pertussis","I110",19440,SAMN03702640 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001987015.1 ,4.11161,67.7,chromosome:NZ_CP011718.1/CP011718.1,-,1,3972,3626,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/987/015/GCF_001987015.1_ASM198701v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/987/015/GCA_001987015.1_ASM198701v1
"Bordetella pertussis","I111",19440,SAMN03702641 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001987035.1 ,4.10638,67.7,chromosome:NZ_CP011719.1/CP011719.1,-,1,3974,3628,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/987/035/GCF_001987035.1_ASM198703v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/987/035/GCA_001987035.1_ASM198703v1
"Bordetella pertussis","I113",19440,SAMN03702642 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001987055.1 ,4.10324,67.7,chromosome:NZ_CP011720.1/CP011720.1,-,1,3970,3630,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/987/055/GCF_001987055.1_ASM198705v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/987/055/GCA_001987055.1_ASM198705v1
"Bordetella pertussis","I127",19440,SAMN03702643 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001987075.1 ,4.10322,67.7,chromosome:NZ_CP011721.1/CP011721.1,-,1,3963,3619,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/987/075/GCF_001987075.1_ASM198707v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/987/075/GCA_001987075.1_ASM198707v1
"Bordetella pertussis","I135",19440,SAMN03702644 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001987095.1 ,4.10954,67.7,chromosome:NZ_CP011722.1/CP011722.1,-,1,3976,3632,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/987/095/GCF_001987095.1_ASM198709v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/987/095/GCA_001987095.1_ASM198709v1
"Bordetella pertussis","I136",19440,SAMN03702645 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001987115.1 ,4.10745,67.7,chromosome:NZ_CP011723.1/CP011723.1,-,1,3968,3625,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/987/115/GCF_001987115.1_ASM198711v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/987/115/GCA_001987115.1_ASM198711v1
"Bordetella pertussis","I257",19440,SAMN03702646 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001987135.1 ,4.10425,67.7,chromosome:NZ_CP011724.1/CP011724.1,-,1,3969,3629,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/987/135/GCF_001987135.1_ASM198713v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/987/135/GCA_001987135.1_ASM198713v1
"Bordetella pertussis","I263",19440,SAMN03702647 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001987155.1 ,4.10425,67.7,chromosome:NZ_CP011725.1/CP011725.1,-,1,3970,3630,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/987/155/GCF_001987155.1_ASM198715v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/987/155/GCA_001987155.1_ASM198715v1
"Bordetella pertussis","I270",19440,SAMN03702648 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001987175.1 ,4.10322,67.7,chromosome:NZ_CP011726.1/CP011726.1,-,1,3968,3628,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/987/175/GCF_001987175.1_ASM198717v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/987/175/GCA_001987175.1_ASM198717v1
"Bordetella pertussis","I271",19440,SAMN03702649 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001987195.1 ,4.10954,67.7,chromosome:NZ_CP011727.1/CP011727.1,-,1,3980,3636,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/987/195/GCF_001987195.1_ASM198719v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/987/195/GCA_001987195.1_ASM198719v1
"Bordetella pertussis","I273",19440,SAMN03702650 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_001987215.1 ,4.11043,67.7,chromosome:NZ_CP011728.1/CP011728.1,-,1,3979,3634,2017/02/06,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/987/215/GCF_001987215.1_ASM198721v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/987/215/GCA_001987215.1_ASM198721v1
