Alias	Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	ENA_FIRST_PUBLIC	ENA_LAST_UPDATE	ENA_checklist	Experiment	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	SRA_accession	Sample_Name	Title	collected_by	collection_date	geo_loc_name	geographic_location_country_and_or_sea	host	host_disease	host_health_state	isolate	isolation_source	lat_lon	strain	Consent
Accupfx_phu_BP-sc-2011-09-12T14:54:41Z-1138838	WGS	GCA_000306945.1	152	PRJEB2627	SAMEA1032236		SC	bam sra	ftp-ena sra-sos	sra-sos.public	2011-11-07	2018-11-16		ERX023485	SC	Wellcome Sanger Institute	2011-11-07T11:36:07Z	2018-03-09T09:54:18Z	public	450	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	2592004	2016-01-30	274	190	Bordetella pertussis	ILLUMINA	2011-11-09	ERR046423	ERS054030	ERP000804	ERS054030	SAMEA1032236 ERS054030	Bordetella pertussis												public
Accupfx_phu_BP-sc-2011-09-12T14:54:41Z-1138838	WGS	GCA_000306945.1	150	PRJEB2627	SAMEA1032236		SC	bam sra	ftp-ena ncbi		2011-11-07	2018-11-16		ERX023548	SC	Wellcome Sanger Institute	2011-11-07T11:36:07Z	2018-03-09T09:54:18Z	public	450	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2592004	2016-01-30	881	610	Bordetella pertussis	ILLUMINA	2011-11-09	ERR046486	ERS054030	ERP000804	ERS054030	SAMEA1032236 ERS054030	Bordetella pertussis												public
KapaHF_phu_BP-sc-2011-09-12T14:54:42Z-1138853	WGS	GCA_000306945.1	152	PRJEB2627	SAMEA1032238		SC	bam sra	ftp-ena sra-sos	sra-sos.public	2011-11-07	2018-11-16		ERX023488	SC	Wellcome Sanger Institute	2011-11-07T11:36:07Z	2018-03-09T09:53:55Z	public	450	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	2592082	2016-01-30	812	437	Bordetella pertussis	ILLUMINA	2011-11-09	ERR046426	ERS054031	ERP000804	ERS054031	SAMEA1032238 ERS054031	Bordetella pertussis												public
KapaHF_phu_BP-sc-2011-09-12T14:54:42Z-1138853	WGS	GCA_000306945.1	150	PRJEB2627	SAMEA1032238		SC	bam sra	ftp-ena sra-sos	sra-sos.public	2011-11-07	2018-11-16		ERX023578	SC	Wellcome Sanger Institute	2011-11-07T11:36:07Z	2018-03-09T09:53:55Z	public	450	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2592082	2016-01-30	3277	2358	Bordetella pertussis	ILLUMINA	2011-11-09	ERR046516	ERS054031	ERP000804	ERS054031	SAMEA1032238 ERS054031	Bordetella pertussis												public
KapaHF_60C_BP-sc-2011-09-12T14:54:43Z-1138857	WGS	GCA_000306945.1	152	PRJEB2627	SAMEA1032316		SC	bam sra	ftp-ena sra-sos	sra-sos.public	2011-11-07	2018-11-16		ERX023492	SC	Wellcome Sanger Institute	2011-11-07T11:36:07Z	2018-03-09T09:54:04Z	public	450	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	2592086	2016-01-30	240	158	Bordetella pertussis	ILLUMINA	2011-11-09	ERR046430	ERS054032	ERP000804	ERS054032	SAMEA1032316 ERS054032	Bordetella pertussis												public
KapaHF_60C_BP-sc-2011-09-12T14:54:43Z-1138857	WGS	GCA_000306945.1	150	PRJEB2627	SAMEA1032316		SC	bam sra	ftp-ena ncbi		2011-11-07	2018-11-16		ERX023582	SC	Wellcome Sanger Institute	2011-11-07T11:36:07Z	2018-03-09T09:54:04Z	public	450	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2592086	2016-01-30	843	670	Bordetella pertussis	ILLUMINA	2011-11-09	ERR046520	ERS054032	ERP000804	ERS054032	SAMEA1032316 ERS054032	Bordetella pertussis												public
Precisor_BP-sc-2011-09-12T14:54:44Z-1138861	WGS	GCA_000306945.1	152	PRJEB2627	SAMEA1032326		SC	bam sra	ftp-ena ncbi		2011-11-07	2018-11-16		ERX023496	SC	Wellcome Sanger Institute	2011-11-07T11:36:07Z	2018-03-09T09:54:18Z	public	450	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	2592090	2016-01-30	128	82	Bordetella pertussis	ILLUMINA	2011-11-09	ERR046434	ERS054033	ERP000804	ERS054033	SAMEA1032326 ERS054033	Bordetella pertussis												public
Precisor_BP-sc-2011-09-12T14:54:44Z-1138861	WGS	GCA_000306945.1	150	PRJEB2627	SAMEA1032326		SC	bam sra	ftp-ena sra-sos	sra-sos.public	2011-11-07	2018-11-16		ERX023586	SC	Wellcome Sanger Institute	2011-11-07T11:36:07Z	2018-03-09T09:54:18Z	public	450	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2592090	2016-01-30	428	338	Bordetella pertussis	ILLUMINA	2011-11-09	ERR046524	ERS054033	ERP000804	ERS054033	SAMEA1032326 ERS054033	Bordetella pertussis												public
Accu_pfx_BP-sc-2011-09-12T14:54:44Z-1138866	WGS	GCA_000306945.1	152	PRJEB2627	SAMEA1032277		SC	bam sra	ftp-ena sra-sos	sra-sos.public	2011-11-07	2018-11-16		ERX023501	SC	Wellcome Sanger Institute	2011-11-07T11:36:07Z	2018-03-09T09:53:55Z	public	450	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	2592108	2016-01-30	262	180	Bordetella pertussis	ILLUMINA	2011-11-09	ERR046439	ERS054034	ERP000804	ERS054034	SAMEA1032277 ERS054034	Bordetella pertussis												public
Accu_pfx_BP-sc-2011-09-12T14:54:44Z-1138866	WGS	GCA_000306945.1	150	PRJEB2627	SAMEA1032277		SC	bam sra	ftp-ena sra-sos	sra-sos.public	2011-11-07	2018-11-16		ERX023552	SC	Wellcome Sanger Institute	2011-11-07T11:36:07Z	2018-03-09T09:53:55Z	public	450	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2592108	2016-01-30	622	441	Bordetella pertussis	ILLUMINA	2011-11-09	ERR046490	ERS054034	ERP000804	ERS054034	SAMEA1032277 ERS054034	Bordetella pertussis												public
Accu_broad_BP-sc-2011-09-12T14:54:45Z-1138869	WGS	GCA_000306945.1	152	PRJEB2627	SAMEA1032294		SC	bam sra	ftp-ena sra-sos	sra-sos.public	2011-11-07	2018-11-16		ERX023504	SC	Wellcome Sanger Institute	2011-11-07T11:36:07Z	2018-03-09T09:54:04Z	public	450	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	2592111	2016-01-30	268	177	Bordetella pertussis	ILLUMINA	2011-11-09	ERR046442	ERS054035	ERP000804	ERS054035	SAMEA1032294 ERS054035	Bordetella pertussis												public
Accu_broad_BP-sc-2011-09-12T14:54:45Z-1138869	WGS	GCA_000306945.1	150	PRJEB2627	SAMEA1032294		SC	bam sra	ftp-ena ncbi		2011-11-07	2018-11-16		ERX023555	SC	Wellcome Sanger Institute	2011-11-07T11:36:07Z	2018-03-09T09:54:04Z	public	450	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2592111	2016-01-30	730	504	Bordetella pertussis	ILLUMINA	2011-11-09	ERR046493	ERS054035	ERP000804	ERS054035	SAMEA1032294 ERS054035	Bordetella pertussis												public
Pfx50_broad_BP-sc-2011-09-12T14:54:45Z-1138873	WGS	GCA_000306945.1	152	PRJEB2627	SAMEA1032151		SC	bam sra	ftp-ena sra-sos	sra-sos.public	2011-11-07	2018-11-16		ERX023508	SC	Wellcome Sanger Institute	2011-11-07T11:36:07Z	2018-03-09T09:54:18Z	public	450	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	2592115	2016-01-30	265	179	Bordetella pertussis	ILLUMINA	2011-11-09	ERR046446	ERS054036	ERP000804	ERS054036	SAMEA1032151 ERS054036	Bordetella pertussis												public
Pfx50_broad_BP-sc-2011-09-12T14:54:45Z-1138873	WGS	GCA_000306945.1	150	PRJEB2627	SAMEA1032151		SC	bam sra	ftp-ena sra-sos	sra-sos.public	2011-11-07	2018-11-16		ERX023559	SC	Wellcome Sanger Institute	2011-11-07T11:36:07Z	2018-03-09T09:54:18Z	public	450	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2592115	2016-01-30	703	492	Bordetella pertussis	ILLUMINA	2011-11-09	ERR046497	ERS054036	ERP000804	ERS054036	SAMEA1032151 ERS054036	Bordetella pertussis												public
kapaHFq_BP7-sc-2011-09-12T14:54:46Z-1138878	WGS	GCA_000306945.1	152	PRJEB2627	SAMEA1032163		SC	bam sra	ftp-ena ncbi		2011-11-07	2018-11-16		ERX023513	SC	Wellcome Sanger Institute	2011-11-07T11:36:07Z	2018-03-09T09:53:55Z	public	450	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	2592133	2016-01-30	537	335	Bordetella pertussis	ILLUMINA	2011-11-09	ERR046451	ERS054037	ERP000804	ERS054037	SAMEA1032163 ERS054037	Bordetella pertussis												public
kapaHFq_BP7-sc-2011-09-12T14:54:46Z-1138878	WGS	GCA_000306945.1	150	PRJEB2627	SAMEA1032163		SC	bam sra	ftp-ena sra-sos	sra-sos.public	2011-11-07	2018-11-16		ERX023564	SC	Wellcome Sanger Institute	2011-11-07T11:36:07Z	2018-03-09T09:53:55Z	public	450	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2592133	2016-01-30	1464	1010	Bordetella pertussis	ILLUMINA	2011-11-09	ERR046502	ERS054037	ERP000804	ERS054037	SAMEA1032163 ERS054037	Bordetella pertussis												public
kapaHFq_BP-sc-2011-09-12T14:54:47Z-1138882	WGS	GCA_000306945.1	152	PRJEB2627	SAMEA1032154		SC	bam sra	ftp-ena sra-sos	sra-sos.public	2011-11-07	2018-11-16		ERX023517	SC	Wellcome Sanger Institute	2011-11-07T11:36:07Z	2018-03-09T09:54:04Z	public	450	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	2592142	2016-01-30	348	244	Bordetella pertussis	ILLUMINA	2011-11-09	ERR046455	ERS054038	ERP000804	ERS054038	SAMEA1032154 ERS054038	Bordetella pertussis												public
kapaHFq_BP-sc-2011-09-12T14:54:47Z-1138882	WGS	GCA_000306945.1	150	PRJEB2627	SAMEA1032154		SC	bam sra	ftp-ena sra-sos	sra-sos.public	2011-11-07	2018-11-16		ERX023568	SC	Wellcome Sanger Institute	2011-11-07T11:36:07Z	2018-03-09T09:54:04Z	public	450	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2592142	2016-01-30	931	672	Bordetella pertussis	ILLUMINA	2011-11-09	ERR046506	ERS054038	ERP000804	ERS054038	SAMEA1032154 ERS054038	Bordetella pertussis												public
Robust_BP-sc-2011-09-12T14:54:47Z-1138886	WGS	GCA_000306945.1	152	PRJEB2627	SAMEA1032116		SC	bam sra	ftp-ena ncbi		2011-11-07	2018-11-16		ERX023521	SC	Wellcome Sanger Institute	2011-11-07T11:36:07Z	2018-03-09T09:54:18Z	public	450	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	2592146	2016-01-30	252	178	Bordetella pertussis	ILLUMINA	2011-11-09	ERR046459	ERS054039	ERP000804	ERS054039	SAMEA1032116 ERS054039	Bordetella pertussis												public
Robust_BP-sc-2011-09-12T14:54:47Z-1138886	WGS	GCA_000306945.1	150	PRJEB2627	SAMEA1032116		SC	bam sra	ftp-ena sra-sos	sra-sos.public	2011-11-07	2018-11-16		ERX023572	SC	Wellcome Sanger Institute	2011-11-07T11:36:07Z	2018-03-09T09:54:18Z	public	450	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2592146	2016-01-30	658	477	Bordetella pertussis	ILLUMINA	2011-11-09	ERR046510	ERS054039	ERP000804	ERS054039	SAMEA1032116 ERS054039	Bordetella pertussis												public
Takara_BP-sc-2011-09-12T14:54:49Z-1138890	WGS	GCA_000306945.1	152	PRJEB2627	SAMEA1032200		SC	bam sra	ftp-ena sra-sos	sra-sos.public	2011-11-07	2018-11-16		ERX023525	SC	Wellcome Sanger Institute	2011-11-07T11:36:07Z	2018-03-09T09:53:55Z	public	450	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	2592150	2016-01-30	333	228	Bordetella pertussis	ILLUMINA	2011-11-09	ERR046463	ERS054040	ERP000804	ERS054040	SAMEA1032200 ERS054040	Bordetella pertussis												public
Takara_BP-sc-2011-09-12T14:54:49Z-1138890	WGS	GCA_000306945.1	150	PRJEB2627	SAMEA1032200		SC	bam sra	ftp-ena sra-sos	sra-sos.public	2011-11-07	2018-11-16		ERX023576	SC	Wellcome Sanger Institute	2011-11-07T11:36:07Z	2018-03-09T09:53:55Z	public	450	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2592150	2016-01-30	886	628	Bordetella pertussis	ILLUMINA	2011-11-09	ERR046514	ERS054040	ERP000804	ERS054040	SAMEA1032200 ERS054040	Bordetella pertussis												public
	WGS		100		SAMN00848605		RIVM	sra	sra-sos	sra-sos.public				SRX134943						0	Illumina Genome Analyzer	PAIRED	RANDOM	GENOMIC	B0496	2012-08-12	338	221	Bordetella pertussis	ILLUMINA	2012-09-04	SRR452446	SRS307099	SRP012020		B0496													public
	WGS		100		SAMN00848606		RIVM	sra	sra-sos	sra-sos.public				SRX135714						0	Illumina Genome Analyzer	PAIRED	RANDOM	GENOMIC	B0296	2012-08-12	134	88	Bordetella pertussis	ILLUMINA	2012-09-04	SRR454006	SRS307100	SRP012020		B0296													public
	WGS		100		SAMN00848607		RIVM	sra	sra-sos	sra-sos.public				SRX135715						0	Illumina Genome Analyzer	PAIRED	RANDOM	GENOMIC	B0738	2012-08-12	242	157	Bordetella pertussis	ILLUMINA	2012-09-04	SRR454049	SRS307101	SRP012020		B0738													public
	WGS		100		SAMN00848608		RIVM	sra	sra-sos	sra-sos.public				SRX135716						0	Illumina Genome Analyzer	PAIRED	RANDOM	GENOMIC	B0400	2012-08-12	274	180	Bordetella pertussis	ILLUMINA	2012-09-04	SRR454050	SRS307102	SRP012020		B0400													public
	WGS		100		SAMN00848609		RIVM	sra	sra-sos	sra-sos.public				SRX135830						0	Illumina Genome Analyzer	PAIRED	RANDOM	GENOMIC	B3405	2012-08-12	86	57	Bordetella pertussis	ILLUMINA	2012-09-04	SRR454051	SRS307103	SRP012020		B3405													public
	WGS		150		SAMN00848609		RIVM	sra	sra-sos	sra-sos.public				SRX139860						0	Illumina Genome Analyzer	PAIRED	RANDOM	GENOMIC	B3405	2012-08-12	89	61	Bordetella pertussis	ILLUMINA	2012-09-04	SRR475645	SRS307103	SRP012020		B3405													public
Bordetella_Pertussis-sc-2012-02-13T09:11:59Z-1302255	WGS	GCA_000306945.1	300	PRJEB2848	SAMEA1485531		SC	sra	sra-sos	sra-sos.public	2012-07-27	2018-11-16		ERX118616	SC	Wellcome Sanger Institute	2012-06-22T16:18:10Z	2018-03-09T09:55:38Z	public	450	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	bp_MsvHS	2014-10-18	455	294	Bordetella pertussis 18323	ILLUMINA	2012-08-28	ERR142612	ERS088715	ERP001163	ERS088715	SAMEA1485531 ERS088715	Bordetella pertussis 18323												public
Bordetella_Pertussis-sc-2012-02-13T09:11:59Z-1302255	WGS	GCA_000306945.1	150	PRJEB2848	SAMEA1485531		SC	sra	ncbi		2012-07-27	2018-11-16		ERX118619	SC	Wellcome Sanger Institute	2012-06-22T16:18:10Z	2018-03-09T09:55:38Z	public	450	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	bp_MsvHS	2014-10-18	3933	1873	Bordetella pertussis 18323	ILLUMINA	2012-08-28	ERR142615	ERS088715	ERP001163	ERS088715	SAMEA1485531 ERS088715	Bordetella pertussis 18323												public
Bordetella_Pertussis-sc-2012-02-13T09:11:59Z-1302255	WGS	GCA_000306945.1	302	PRJEB2848	SAMEA1485531		SC	sra	sra-sos	sra-sos.public	2012-07-27	2018-11-16		ERX118622	SC	Wellcome Sanger Institute	2012-06-22T16:18:10Z	2018-03-09T09:55:38Z	public	300	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	Nextera2_BP	2014-10-18	286	198	Bordetella pertussis 18323	ILLUMINA	2012-08-28	ERR142618	ERS088715	ERP001163	ERS088715	SAMEA1485531 ERS088715	Bordetella pertussis 18323												public
Bordetella_Pertussis-sc-2012-02-13T09:11:59Z-1302255	WGS	GCA_000306945.1	302	PRJEB2848	SAMEA1485531		SC	sra	sra-sos	sra-sos.public	2012-07-27	2018-11-16		ERX118625	SC	Wellcome Sanger Institute	2012-06-22T16:18:10Z	2018-03-09T09:55:38Z	public	450	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	bp_Ms_ka	2014-10-18	569	349	Bordetella pertussis 18323	ILLUMINA	2012-08-28	ERR142621	ERS088715	ERP001163	ERS088715	SAMEA1485531 ERS088715	Bordetella pertussis 18323												public
Bordetella_Pertussis-sc-2012-02-13T09:11:59Z-1302255	WGS		2478	PRJEB2848	SAMEA1485531		SC	hdf5 sra	ncbi		2012-07-27	2018-11-16		ERX135905	SC	Wellcome Sanger Institute	2012-06-22T16:18:10Z	2018-03-09T09:55:38Z	public	0	PacBio RS	SINGLE	RANDOM	GENOMIC	100082002553400000315004905221107	2015-02-01	193	852	Bordetella pertussis 18323	PACBIO_SMRT	2012-08-28	ERR159960	ERS088715	ERP001163	ERS088715	SAMEA1485531 ERS088715	Bordetella pertussis 18323												public
Bordetella_Pertussis-sc-2012-02-13T09:11:59Z-1302255	WGS		1692	PRJEB2848	SAMEA1485531		SC	hdf5 sra	ncbi		2012-07-27	2018-11-16		ERX135905	SC	Wellcome Sanger Institute	2012-06-22T16:18:10Z	2018-03-09T09:55:38Z	public	0	PacBio RS	SINGLE	RANDOM	GENOMIC	100082002553400000315004905221107	2015-02-01	131	595	Bordetella pertussis 18323	PACBIO_SMRT	2012-08-28	ERR159961	ERS088715	ERP001163	ERS088715	SAMEA1485531 ERS088715	Bordetella pertussis 18323												public
Bordetella_Pertussis-sc-2012-02-13T09:11:59Z-1302255	WGS		2237	PRJEB2848	SAMEA1485531		SC	hdf5 sra	ncbi sra-sos	sra-sos.public	2012-07-27	2018-11-16		ERX135906	SC	Wellcome Sanger Institute	2012-06-22T16:18:10Z	2018-03-09T09:55:38Z	public	0	PacBio RS	SINGLE	RANDOM	GENOMIC	100081922553400000315004905221120	2015-02-01	174	767	Bordetella pertussis 18323	PACBIO_SMRT	2012-08-28	ERR159962	ERS088715	ERP001163	ERS088715	SAMEA1485531 ERS088715	Bordetella pertussis 18323												public
Bordetella_Pertussis-sc-2012-02-13T09:11:59Z-1302255	WGS		2219	PRJEB2848	SAMEA1485531		SC	hdf5 sra	ncbi sra-sos	sra-sos.public	2012-07-27	2018-11-16		ERX135909	SC	Wellcome Sanger Institute	2012-06-22T16:18:10Z	2018-03-09T09:55:38Z	public	0	PacBio RS	SINGLE	RANDOM	GENOMIC	100082812555500000315005305271121	2015-02-01	172	765	Bordetella pertussis 18323	PACBIO_SMRT	2012-08-28	ERR159967	ERS088715	ERP001163	ERS088715	SAMEA1485531 ERS088715	Bordetella pertussis 18323												public
Bordetella_Pertussis-sc-2012-02-13T09:11:59Z-1302255	WGS		1419	PRJEB2848	SAMEA1485531		SC	hdf5 sra	ncbi sra-sos	sra-sos.public	2012-07-27	2018-11-16		ERX135909	SC	Wellcome Sanger Institute	2012-06-22T16:18:10Z	2018-03-09T09:55:38Z	public	0	PacBio RS	SINGLE	RANDOM	GENOMIC	100082812555500000315005305271121	2015-02-01	110	503	Bordetella pertussis 18323	PACBIO_SMRT	2012-08-28	ERR159968	ERS088715	ERP001163	ERS088715	SAMEA1485531 ERS088715	Bordetella pertussis 18323												public
Bordetella_Pertussis-sc-2012-02-13T09:11:59Z-1302255	WGS		1824	PRJEB2848	SAMEA1485531		SC	hdf5 sra	ncbi sra-sos	sra-sos.public	2012-07-27	2018-11-16		ERX135910	SC	Wellcome Sanger Institute	2012-06-22T16:18:10Z	2018-03-09T09:55:38Z	public	0	PacBio RS	SINGLE	RANDOM	GENOMIC	100082812555500000315005305271122	2015-02-01	142	636	Bordetella pertussis 18323	PACBIO_SMRT	2012-08-28	ERR159969	ERS088715	ERP001163	ERS088715	SAMEA1485531 ERS088715	Bordetella pertussis 18323												public
Bordetella_Pertussis-sc-2012-02-13T09:11:59Z-1302255	WGS		1107	PRJEB2848	SAMEA1485531		SC	hdf5 sra	ncbi sra-sos	sra-sos.public	2012-07-27	2018-11-16		ERX135910	SC	Wellcome Sanger Institute	2012-06-22T16:18:10Z	2018-03-09T09:55:38Z	public	0	PacBio RS	SINGLE	RANDOM	GENOMIC	100082812555500000315005305271122	2015-02-01	86	397	Bordetella pertussis 18323	PACBIO_SMRT	2012-08-28	ERR159970	ERS088715	ERP001163	ERS088715	SAMEA1485531 ERS088715	Bordetella pertussis 18323												public
Bordetella_Pertussis-sc-2012-02-13T09:11:59Z-1302255	WGS		2319	PRJEB2848	SAMEA1485531		SC	hdf5 sra	ncbi		2012-07-27	2018-11-16		ERX135917	SC	Wellcome Sanger Institute	2012-06-22T16:18:10Z	2018-03-09T09:55:38Z	public	0	PacBio RS	SINGLE	RANDOM	GENOMIC	100082482555500000315005305271177	2015-02-01	180	799	Bordetella pertussis 18323	PACBIO_SMRT	2012-08-28	ERR159983	ERS088715	ERP001163	ERS088715	SAMEA1485531 ERS088715	Bordetella pertussis 18323												public
Bordetella_Pertussis-sc-2012-02-13T09:11:59Z-1302255	WGS		1511	PRJEB2848	SAMEA1485531		SC	hdf5 sra	ncbi sra-sos	sra-sos.public	2012-07-27	2018-11-16		ERX135917	SC	Wellcome Sanger Institute	2012-06-22T16:18:10Z	2018-03-09T09:55:38Z	public	0	PacBio RS	SINGLE	RANDOM	GENOMIC	100082482555500000315005305271177	2015-02-01	117	534	Bordetella pertussis 18323	PACBIO_SMRT	2012-08-28	ERR159984	ERS088715	ERP001163	ERS088715	SAMEA1485531 ERS088715	Bordetella pertussis 18323												public
Bordetella_Pertussis-sc-2012-02-13T09:11:59Z-1302255	WGS		2485	PRJEB2848	SAMEA1485531		SC	hdf5 sra	ncbi sra-sos	sra-sos.public	2012-07-27	2018-11-16		ERX135940	SC	Wellcome Sanger Institute	2012-06-22T16:18:10Z	2018-03-09T09:55:38Z	public	0	PacBio RS	SINGLE	RANDOM	GENOMIC	100083832555500000315005305271190	2015-02-01	193	853	Bordetella pertussis 18323	PACBIO_SMRT	2012-08-28	ERR160029	ERS088715	ERP001163	ERS088715	SAMEA1485531 ERS088715	Bordetella pertussis 18323												public
Bordetella_Pertussis-sc-2012-02-13T09:11:59Z-1302255	WGS		1681	PRJEB2848	SAMEA1485531		SC	hdf5 sra	ncbi		2012-07-27	2018-11-16		ERX135940	SC	Wellcome Sanger Institute	2012-06-22T16:18:10Z	2018-03-09T09:55:38Z	public	0	PacBio RS	SINGLE	RANDOM	GENOMIC	100083832555500000315005305271190	2015-02-01	131	591	Bordetella pertussis 18323	PACBIO_SMRT	2012-08-28	ERR160030	ERS088715	ERP001163	ERS088715	SAMEA1485531 ERS088715	Bordetella pertussis 18323												public
Bordetella_Pertussis-sc-2012-02-13T09:11:59Z-1302255	WGS		2035	PRJEB2848	SAMEA1485531		SC	hdf5 sra	ncbi		2012-07-27	2018-11-16		ERX135941	SC	Wellcome Sanger Institute	2012-06-22T16:18:10Z	2018-03-09T09:55:38Z	public	0	PacBio RS	SINGLE	RANDOM	GENOMIC	100083832555500000315005305271191	2015-02-01	158	704	Bordetella pertussis 18323	PACBIO_SMRT	2012-08-28	ERR160031	ERS088715	ERP001163	ERS088715	SAMEA1485531 ERS088715	Bordetella pertussis 18323												public
Bordetella_Pertussis-sc-2012-02-13T09:11:59Z-1302255	WGS		1382	PRJEB2848	SAMEA1485531		SC	hdf5 sra	ncbi sra-sos	sra-sos.public	2012-07-27	2018-11-16		ERX135941	SC	Wellcome Sanger Institute	2012-06-22T16:18:10Z	2018-03-09T09:55:38Z	public	0	PacBio RS	SINGLE	RANDOM	GENOMIC	100083832555500000315005305271191	2015-02-01	107	488	Bordetella pertussis 18323	PACBIO_SMRT	2012-08-28	ERR160032	ERS088715	ERP001163	ERS088715	SAMEA1485531 ERS088715	Bordetella pertussis 18323												public
Bordetella_Pertussis-sc-2012-02-13T09:11:59Z-1302255	WGS		1603	PRJEB2848	SAMEA1485531		SC	hdf5 sra	ncbi sra-sos	sra-sos.public	2012-07-27	2018-11-16		ERX135942	SC	Wellcome Sanger Institute	2012-06-22T16:18:10Z	2018-03-09T09:55:38Z	public	0	PacBio RS	SINGLE	RANDOM	GENOMIC	100083832555500000315005305271192	2015-02-01	125	560	Bordetella pertussis 18323	PACBIO_SMRT	2012-08-28	ERR160033	ERS088715	ERP001163	ERS088715	SAMEA1485531 ERS088715	Bordetella pertussis 18323												public
Bordetella_Pertussis-sc-2012-02-13T09:11:59Z-1302255	WGS		1031	PRJEB2848	SAMEA1485531		SC	hdf5 sra	ncbi sra-sos	sra-sos.public	2012-07-27	2018-11-16		ERX135942	SC	Wellcome Sanger Institute	2012-06-22T16:18:10Z	2018-03-09T09:55:38Z	public	0	PacBio RS	SINGLE	RANDOM	GENOMIC	100083832555500000315005305271192	2015-02-01	80	368	Bordetella pertussis 18323	PACBIO_SMRT	2012-08-28	ERR160034	ERS088715	ERP001163	ERS088715	SAMEA1485531 ERS088715	Bordetella pertussis 18323												public
Bordetella_Pertussis-sc-2012-02-13T09:11:59Z-1302255	WGS		2030	PRJEB2848	SAMEA1485531		SC	hdf5 sra	ncbi sra-sos	sra-sos.public	2012-07-27	2018-11-16		ERX135943	SC	Wellcome Sanger Institute	2012-06-22T16:18:10Z	2018-03-09T09:55:38Z	public	0	PacBio RS	SINGLE	RANDOM	GENOMIC	100083832555500000315005305271196	2015-02-01	158	700	Bordetella pertussis 18323	PACBIO_SMRT	2012-08-28	ERR160035	ERS088715	ERP001163	ERS088715	SAMEA1485531 ERS088715	Bordetella pertussis 18323												public
Bordetella_Pertussis-sc-2012-02-13T09:11:59Z-1302255	WGS		1379	PRJEB2848	SAMEA1485531		SC	hdf5 sra	ncbi sra-sos	sra-sos.public	2012-07-27	2018-11-16		ERX135943	SC	Wellcome Sanger Institute	2012-06-22T16:18:10Z	2018-03-09T09:55:38Z	public	0	PacBio RS	SINGLE	RANDOM	GENOMIC	100083832555500000315005305271196	2015-02-01	107	487	Bordetella pertussis 18323	PACBIO_SMRT	2012-08-28	ERR160036	ERS088715	ERP001163	ERS088715	SAMEA1485531 ERS088715	Bordetella pertussis 18323												public
Bordetella_Pertussis-sc-2012-02-13T09:11:59Z-1302255	WGS		2285	PRJEB2848	SAMEA1485531		SC	hdf5 sra	ncbi sra-sos	sra-sos.public	2012-07-27	2018-11-16		ERX135944	SC	Wellcome Sanger Institute	2012-06-22T16:18:10Z	2018-03-09T09:55:38Z	public	0	PacBio RS	SINGLE	RANDOM	GENOMIC	100083832555500000315005305271197	2015-02-01	178	787	Bordetella pertussis 18323	PACBIO_SMRT	2012-08-28	ERR160037	ERS088715	ERP001163	ERS088715	SAMEA1485531 ERS088715	Bordetella pertussis 18323												public
